"csource","day","rep","name"
"CNH","15","1","NPCNHT15_1.fcs"
"CNH","15","2","NPCNHT15_2.fcs"
"CNH","15","3","NPCNHT15_3.fcs"
"CNH","30","1","NPCNHT30_1.fcs"
"CNH","30","2","NPCNHT30_2.fcs"
"CNH","30","3","NPCNHT30_3.fcs"
"CNL","15","1","NPCNLT15_1.fcs"
"CNL","15","2","NPCNLT15_2.fcs"
"CNL","15","3","NPCNLT15_3.fcs"
"CNL","30","1","NPCNLT30_1.fcs"
"CNL","30","2","NPCNLT30_2.fcs"
"CNL","30","3","NPCNLT30_3.fcs"
