"csource","day","rep","name"
"TIH","15","1","NPTIHT15_1.fcs"
"TIH","15","2","NPTIHT15_2.fcs"
"TIH","15","3","NPTIHT15_3.fcs"
"TIH","30","1","NPTIHT30_1.fcs"
"TIH","30","2","NPTIHT30_2.fcs"
"TIH","30","3","NPTIHT30_3.fcs"
"TIL","15","1","NPTILT15_1.fcs"
"TIL","15","2","NPTILT15_2.fcs"
"TIL","15","3","NPTILT15_3.fcs"
"TIL","30","1","NPTILT30_1.fcs"
"TIL","30","2","NPTILT30_2.fcs"
"TIL","30","3","NPTILT30_3.fcs"
