"csource","day","rep","name"
"FEH","15","1","NPFEHT15_1.fcs"
"FEH","15","2","NPFEHT15_2.fcs"
"FEH","15","3","NPFEHT15_3.fcs"
"FEH","30","1","NPFEHT30_1.fcs"
"FEH","30","2","NPFEHT30_2.fcs"
"FEH","30","3","NPFEHT30_3.fcs"
"FEL","15","1","NPFELT15_1.fcs"
"FEL","15","2","NPFELT15_2.fcs"
"FEL","15","3","NPFELT15_3.fcs"
"FEL","30","1","NPFELT30_1.fcs"
"FEL","30","2","NPFELT30_2.fcs"
"FEL","30","3","NPFELT30_3.fcs"
